tmdbId,title,clean_overview
629,The Usual Suspects,held interrogation room verbal kint attempts convince feds mythic crime lord keyser soze exists also responsible drawing four partners dollar heist ended explosion san pedro harbor leaving survivors verbal lures interrogators incredible story crime lord almost supernatural prowess
11448,Mighty Aphrodite,lenny wife amanda adopt baby lenny realizes son genius becomes obsessed finding boy biological mother hopes brilliant learns max mother linda ash kindhearted prostitute porn star lenny determined reform immoral lifestyle greek chorus chimes relate plot greek mythology quirky comedy
49133,Lamerica,fiore italian conman arrives post communist albania gino young apprentice set shoe factory never open con requires native albanian designate spiro impoverished confused former political prisoner chairman board fiore returns italy get government funds project spiro unexpectedly disappears gino sets journey find search leads discover spiro tragic personal history witness albanian poverty firsthand
26441,The Big Green,depressed texas town british foreign exchange teacher anna attempts inject life hopeless kids introducing soccer terrible first anna assistant whip shape work overtime pair help kids build also get involved solving family squabbles
97406,Georgia,sadie looks older sister georgia successful folk singer happily married children ca break circuit hit big time desperately covets part due attraction drugs booze also unwise choice men finally though sadie achilles heel rough unlovely voice different sister singing
9089,Home for the Holidays,losing job making former boss finding daughter plans spend thanksgiving boyfriend claudia larson faces spending holiday unhinged family
11010,Il postino,simple italian postman learns love poetry delivering mail famous poet uses woo local beauty beatrice
11359,The Indian in the Cupboard,boy gets plastic indian cupboard birthday finds involved adventure indian comes life befriends
17182,Eye for an Eye,fire brimstone time grieving mother karen mccann takes justice hands kangaroo court los angeles fails convict robert doob monster raped murdered daughter
2054,Mr. Holland's Opus,1965 passionate musician glenn holland takes day job high school music teacher convinced small obstacle road true calling writing historic opus decades roll composition unwritten generations students inspired teaching holland must redefine life purpose
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,ashtray moves south central live father appears age grandmother likes talk tough smoke reefer falls cousin loc dog along requisite pistols uzi carries warhead ashtray able keep living straight life
19760,Two If by Sea,frank petty thief girlfriend roz want put end unsteady lifestyle last job involves stealing valuable painting frank takes roz island coast new england wants sell painting also hopes sagging relationship get positive push back everything goes planned
9536,Bio-Dome,bud doyle two losers nothing lives girlfriends actively involved saving environment two friends could care less saving earth one day group scientists begin mission live inside year without outside contact bud doyle mistakenly become part project
11525,Lawnmower Man 2: Beyond Cyberspace,jobe resuscitated jonathan walker wants jobe create special computer chip would connect computers world one network walker would control use walker realize group teenage hackers stop plan
4482,Gazon maudit,learning husband infidelities housewife invites itinerant lesbian move none lives ever
10634,Friday,craig smokey two guys los angeles hanging porch friday afternoon smoking drinking looking something
755,From Dusk Till Dawn,seth gecko younger brother richard run bloody bank robbery texas escape across border mexico next morning pay local kingpin survive dusk till dawn rendezvous point turns hell strip joint
11859,Fair Game,max kirkpatrick cop protects kate mcquean civil law attorney renegade kgb team terminate
28387,Kicking and Screaming,college graduation grover girlfriend jane tells moving prague study writing grover declines accompany deciding instead move several friends ca quite work inertia escape university pull nobody wants make big decisions would radically alter life yet none wants end like chet professional student tends bar tenth year university studies
48750,Les Misérables,france world war ii poor illiterate man henri fortin belmondo introduced victor hugo classic novel les begins see parallels book life
20927,Bed of Roses,seeds love planted lisa investment banker receives flowers secret admirer fantasies clash workaholic ways soon find sometimes harder seems love conquer
36929,Big Bully,writer returns hometown faces childhood nemesis whose life ultimately ruined bully wants relive painful past torturing
9102,Screamers,sirius 6b year distant mining planet ravaged decade war scientists created perfect weapon race killing devices known screamers designed one purpose hunt destroy enemy life forms
124626,Nico Icon,look many lives christa otherwise known nico cutie german first supermodels glamorous diva velvet underground cult item junkie hag many faces woman realize could bring care enough live
27526,The Crossing Guard,daughter died hit run freddy gale waited six years john booth man responsible released prison day release gale visits booth announces kill one week booth uses time try make peace entourage even finds romance gale whose life spiraling obsession towards booth bring edge sanity end week men find collision course
9623,The Juror,gangster boss trial murder mob thug known teacher tells annie laird must talk fellow jurors verdict implying kill son oliver fails manages becomes clear mobsters might want silence good sends oliver abroad tries gather evidence plot setting final showdown
46785,بادکنک سفید,several people try take advantage little girl innocence hustle money mom gave buy goldfish
400,Things to Do in Denver When You're Dead,five different criminals face imminent death botching job quite badly
880,Antonia,world war ii antonia daughter danielle go back dutch hometown antonia late mother bestowed small farm upon antonia settles joins unusual community around include quirky friend crooked finger suitor bas eventually antonia granddaughter help create strong family empowered women
146599,Once Upon a Time... When We Were Colored,film relates story tightly connected community informally called colored town inhabitants live depend world racist oppression everywhere told boy called cliff spent childhood despite see life community joys sorrows live others decide leave better life north remaining things come serious situation one prominent businessman muscled white competitor using racist intimidation response community must make decision whether submit meekly like always finally fight rights
8447,Angels and Insects,victorian england wealthy patriarch sir harald alabaster invites impoverished biologist william adamson home william tries continue work distracted alabaster seductive daughter eugenia william eugenia begin torrid romance couple become closer young scientist begins realize dark disturbing things happening behind closed doors alabaster manor
10534,White Squall,1960 hardy group prep school students boards sailing ship capt christopher sheldon helm oceangoing voyage intended teach boys fortitude discipline youthful crew get unexpected instruction survival get caught clutches white squall storm
17414,Dunston Checks In,hotel manager robert grant forced boss postpone family vacation hotel critic checks trouble critic really villainous jewel thief orangutan assistant named dunston dunston gets loose tries escape life crime aided robert sons havoc hijinks lots laughs abound
13997,Black Sheep,dignified albert donnelly runs governor team moves keep klutzy younger brother mike eye media mike campaign assigns sarcastic steve gets experience lifetime tries take mike town election
2086,Nick of Time,unimpressive man forced situation told kill politician save kidnapped daughter
9095,Mary Reilly,housemaid falls love jekyll darkly mysterious counterpart hyde
12158,Vampire in Brooklyn,detective rita veder assigned baffling serial murder case examining crime scene ship found adrift sea rita meets maximilian caribbean playboy determined romance rita begins suffering crippling hallucinations calls upon zeko occultist suspects vampire loose
9283,Beautiful Girls,snowy winter small fictional town knight ridge massachusetts group lifelong buddies hang drink struggle connect women affect decisions dreams desires
9208,Broken Arrow,rogue pilot vic deakins deliberately drops radar maneuvers air force ends two stolen nuclear warheads deakins riley hale military hope getting back traversing deserted canyons utah hale teams park ranger terry carmichael put deakins back box
40154,A Midwinter's Tale,work actor joe volunteers help try save sister local church community putting christmas production hamlet somewhat advice agent margaretta cast assembles still available even christmas prepared sharing basis may get paid anything expect get cream cream although bring problems foibles along something bigger starts emerge perhaps aptly named village hope
406,La Haine,chaotic night rioting marginal suburb paris three young friends vinz hubert wander around unoccupied waiting news state health mutual friend seriously injured confronting police
63076,Heidi Fleiss: Hollywood Madam,documentary crew bbc arrives intent interviewing heidi fleiss year arrest running brothel trial several months elapse interview crew searches anyone talk young woman two people lot say camera retired madam named alex fleiss worked fleiss boyfriend ivan nagy introduced alex alex nagy like crew shuttles said said finally interview fleiss spend time reciting alex nagy say asking reaction
11062,City Hall,accidental shooting boy new york leads investigation deputy mayor unexpectedly consequences
13685,Bottle Rocket,upon release mental hospital following nervous breakdown directionless anthony joins friend dignan seems far less sane former dignan hatched harebrained scheme crime spree somehow involves former boss supposedly legendary henry
47475,Mr. Wrong,single lonely woman finds seemingly perfect man date soon regrets deranged possessive personality emerges worst still convince anyone else true nature
2045,Unforgettable,seattle medical examiner david krane obsessed solving wife murder possible solution presents experimental memory serum designed neurobiology professor ability transfer memories one person another potentially fatal consequences
9614,Happy Gilmore,failed hockey whiz happy gilmore whose unconventional approach antics grass courts ire rival shooter mcgavin determined win pga tournament save granny house prize money meanwhile attractive tour publicist tries soften happy image
688,The Bridges of Madison County,photographer robert kincaid wanders life housewife francesca johnson four days 1960s
11907,Keiner liebt mich,brink 30th birthday fanny feels door marital happiness closing obsessed death even visits evening classes dying seems fitting encounters skeleton malfunctioning elevator apartment building skeleton neighbour orfeo black gay psychic convinces meet really lothar new yuppie apartment manager
10874,Muppet Treasure Island,telling story flint last journey young jim hawkins billy bones heart attack dies jim friends attacked pirates gang escapes town hire boat crew find hidden treasure revealed bones died voyage across seas soon find everyone board trusted
89333,Catwalk,documentary following christy turlington models spring fashion week milan paris new york
197,Braveheart,enraged slaughter murron new bride childhood love scottish warrior william wallace slays platoon local english lord soldiers leads village revolt eventually entire country rise english rule
103,Taxi Driver,mentally unstable vietnam war veteran works taxi driver new york city perceived decadence sleaze feed urge violent action
33542,紅番區,keong comes hong kong visit new york uncle wedding uncle runs market bronx keong offers help uncle honeymoon stay bronx keong befriends neighbor kid beats neighborhood thugs cause problems market one petty thugs local gang stumbles criminal situation way head
43566,Before and After,two parents deal effects son accused murdering girlfriend
51352,Anne Frank Remembered,using previously unreleased archival material addition contemporary interviews academy documentary tells story frank family presents first portrait brash daughter anne perhaps world famous victim holocaust written dawn barclift
16934,The Young Poisoner's Handbook,graham young teenage misfit living suburban london 1960s hates stepmother loves chemistry two impulses unite wicked plot slowly poison dies found guilty sent psychiatric hospital idealistic doctor thinks cured
10324,If Lucy Fell,joe lucy roommates best friends lucy whose love life embarrassingly dull convinces joe infatuated neighbor never met stable romances within month must jump brooklyn bridge
78406,Steal Big Steal Little,ruben robby twin brothers adopted mona one wealthiest eccentric women santa barbara ruben devoted mona robby devoted money mona leaves fortune estate ruben starts battle brothers soon leads madness mayhem even attempted murder ruben side lou perilli cop used car dealer knows law get around robby side ruthless businessman reed tyler turn swift profit mona property walking shifty line eddie agopian family lawyer care side wins long winner side whether stealing big stealing little stealing hilarious comedy greed power brotherly love
32119,The Boys of St. Vincent,true story boys sexually abused orphanage run religious community newfoundland
11066,Boomerang,marcus successful advertising executive woos beds women almost company merger finds new boss ravishing jacqueline treating exactly way completely traumatised work goes badly downhill
11104,重慶森林,two melancholic hong kong policemen fall love one mysterious underworld figure beautiful ethereal server restaurant
2074,Flirting with Disaster,adopted child new father mel colpin decides name son knows birth parents determines make quest find accompanied wife nancy inept yet gorgeous adoption agent tina departs epic road trip quickly devolves farce mistaken identities wrong turns overzealous atf agents
27793,The NeverEnding Story III,young boy must restore order group bullies steal magical book acts portal earth imaginary world fantasia
290157,Jupiter's Wife,michel negroponte documentary filmmaker meets maggie one day central park maggie claims married god jupiter daughter actor robert ryan michel gets know maggie next couple years attempts use often outlandish stories clues reconstruct past written james meek
110972,Pie in the Sky,young man obsessed traffic patterns attempts reunite first love
11863,Jade,someone nasty hatchet job san francisco big shot assistant takes charge investigation web blackmail prostitution involving governor old lover lawman emerges prime suspect deal personal feelings well case
9101,Down Periscope,maverick navy lieutenant tom dodge never textbook officer brilliant seaman always wanted command nuclear submarine given one last chance clean record unfortunately admiral graham nemesis would rather sink fleet give dodge boat graham stacks deck assigns dodge stingray ww2 submarine barely keep afloat make matters worse dodge crew collection maladjusted misfits tagged enemy crucial war game ordered take navy best
5757,Man of the Year,director dirk shafer also penned raucous mockumentary blend fact fiction 1992 reign playgirl magazine centerfold year shafer chooses keep fact gay secret magazine editors finds living ultimate lie incapable giving female readers really want succumb lover pressures come closet
9302,Up Close & Personal,tally atwater dream network newscaster pursues dream nothing ambition raw talent homemade demo tape warren justice brilliant hard edged veteran newsman sees tally talent becomes mentor tally career takes meteoric rise warren fall love romance results intense revealing television news yet breaking story every videotaped crisis brings together also threatens drive apart
11000,The Birdcage,gay cabaret owner drag queen companion agree put false straight front son introduce conservative moralistic parents
16388,The Brothers McMullen,deals lives three irish catholic mcmullen brothers long island new york three months grapple basic ideas values love sex marriage religion family 1990s directed written produced starring edward burns
9737,Bad Boys,marcus burnett family man mike lowry fancy free ladies man miami policemen 72 hours reclaim consignment drugs stolen station nose complicate matters order get assistance sole witness murder pretend
30765,The Amazing Panda Adventure,far home lush bamboo forests china ryan tyler help young girl goes wonderful journey rescue baby panda taken poachers
10474,The Basketball Diaries,high school basketball player life turns upside harrowing world drug addiction
22279,An Awfully Big Adventure,liverpool right world war ii star struck naive teenage girl joins shabby theatre troupe liverpool winter production peter pan play quickly turns dark metaphor youth becomes drawn web sexual politics intrigue learns world theater
30157,Amateur,man wakes alley bleeding memory stumbles coffee shop befriended charitable failing attempts write marketable pornography
568,Apollo 13,true story technical troubles scuttle apollo 13 lunar mission 1970 risking lives astronaut jim lovell crew failed journey turning thrilling saga heroism drifting miles earth astronauts work furiously ground crew avert tragedy
11780,Rob Roy,highlands scotland 1700s rob roy tries lead small town better future borrowing money local nobility buy cattle herd market money stolen rob forced robin hood lifestyle defend family honour
34996,The Addiction,vampiric doctoral student tries follow philosophy nocturnal comrade control thirst blood
414,Batman Forever,batman must battle disfigured district attorney disgruntled former employee help amorous psychologist young circus acrobat
649,Belle de jour,beautiful young housewife serizy reconcile masochistic fantasies everyday life alongside dutiful husband pierre lovestruck friend henri mentions secretive brothel run madame anais begins work day name belle de jour one clients grows possessive must try go back normal life
1873,Beyond Rangoon,laura bowman young widow unwittingly drawn political turmoil vacationing burma late 1980s bowman initially left san francisco sister attempt escape painful memories husband son violent deaths fight escape thailand could prove harrowing
5894,Blue in the Face,auggie runs small tobacco shop brooklyn new york whole neighborhood comes visit buy cigarettes small talk movie lou reed tries explain cut health insurance bill keeps smoking madonna acts singing telegram
1775,Canadian Bacon,president low opinion polls gets talked raising popularity trying start cold war canada
8839,Casper,casper kind young ghost peacefully haunts mansion maine specialist james harvey arrives communicate casper fellow spirits brings along teenage daughter kat casper quickly falls love kat budding relationship complicated transparent state also troublemaking apparition uncles mischievous antics
20649,Clockers,strike young city drug pusher tutelage drug lord rodney little night manager restaurant found four bullets body strike older brother turns killer det rocco klein buy story however setting find truth seems fingers point toward strike rodney
10329,Congo,eight people embark expedition congo mysterious expanse unexplored africa human greed laws nature gone berserk ulterior motives stumble across race killer apes
8963,Crimson Tide,cold war breakaway russian republic nuclear warheads becomes possible worldwide threat submarine capt frank ramsey signs relatively green highly recommended cmdr ron hunter uss alabama may ship able stop possible armageddon ramsay insists alabama must act aggressively hunter fearing start rather stop disaster leads potential mutiny stop
26564,Crumb,movie chronicles life times crumb robert crumb drew keep truckin fritz cat played major pioneering role genesis underground comix interviews mother two brothers wife well selections vast quantity graphic art treated darkly comic ride one man subconscious mind
8068,Desperado,mariachi plunges headfirst dark border underworld follows trail blood last infamous mexican drug lords bucho showdown help best friend beautiful bookstore owner mariachi tracks bucho takes army desperados leaves trail blood
8512,Devil in a Blue Dress,late 1940s los angeles easy rawlins unemployed black world war ii veteran job prospects bar easy meets dewitt albright mysterious white man looking someone investigate disappearance missing white woman named daphne monet suspects hiding one city black jazz clubs strapped money facing house payments easy takes job soon finds head
1572,Die Hard: With a Vengeance,new york detective john mcclane back kicking butt third installment series finds teaming civilian zeus carver prevent loss innocent lives mcclane thought seen genius named simon engages mcclane new partner beloved city deadly game demands concentration
13552,The Doom Generation,jordan white amy blue two troubled teens pick adolescent drifter xavier red together threesome embarks sex journey united states psychos quickie marts
6520,First Knight,timeless tale king arthur legend camelot retold passionate period drama arthur reluctant hand crown lancelot guinevere torn loyalty husband growing love rival lancelot must balance loyalty throne rewards true love
9073,Free Willy 2: The Adventure Home,jesse becomes reunited willy three years whale jump freedom teenager tries rescue killer whale orcas oil spill
10428,Hackers,along new friends teenager arrested us secret service banned using computer writing computer virus discovers plot nefarious hacker must use computer skills find evidence pursued secret service evil computer genius behind virus
17447,Jeffrey,jeffrey gay man living new york city overwhelming fear contracting aids concludes celibate option protect fate would shortly declaration existence meets handsome steve howard dream man except status facing dilemma jeffrey turns best friend outrageous priest guidance
9886,Johnny Mnemonic,dystopian 2021 johnny data trafficker implant allows securely store data sensitive regular computer networks one delivery run accepts package exceeds implant safety kill data removed also contains information far important valuable ever imagined race time must avoid assassins sent kill remove data ends life
9482,Judge Dredd,dystopian future dredd famous judge cop instant field judiciary powers convicted crime commit murderous counterpart escapes
19326,Jury Duty,jobless tommy collins discovers sequestered jurors earn free room board well gets assigned jury murder trial everything prolong trial deliberations make sequestration comfortable
9344,Kids,day life group teens travel around new york city skating drinking smoking deflowering virgins
9071,Living in Oblivion,nick director indie film tries keep everything together production plagued insecure actress megalomaniac star pretentious director photography lousy catering
8973,Lord of Illusions,routine case ny private investigator harry stumbles members fanatic cult preparing resurrection leader nix powerful magician killed 13 years earlier
15730,Love & Human Remains,canadian metropolis failed actor david shares place bookish candy dated coming gay david waits tables pursues aimless romance younger coworker candy dabbles heterosexual affairs david candy odd assortment friends including telepathic sex worker yuppie pass beds serial murder stalks city women
47608,Mad Love,matt falls casey new girl school eccentric darkness whimsy matt ca begin comprehend casey attempts commit suicide parents place mental institution matt springs together young lovers head road trip believe love cure casey problems matt starts wonder though inspired misguided
2293,Mallrats,dumped girlfriends two best friends seek refuge local mall eventually decide try win back significant others take care respective nemeses
9070,Mighty Morphin Power Rangers: The Movie,six incredible teens defeat evil everywhere mighty morphin power rangers time power rangers may met match face ivan ooze sinister monster galaxy ever seen
48787,Mute Witness,billy mute kept becoming successful makeup artist russia working film directed sister boyfriend andy billy finds trapped studio one night horrified see snuff film made billy escapes help sister kate alerts authorities saw unfortunately makes enemy russian mafia funded snuff film
34574,Nadja,contemporary new york city members dysfunctional family vampires trying come terms wake father death meanwhile hunted van helsing hapless nephew good vampire movies forces love pitted forces destruction
1642,The Net,angela bennett freelance software engineer lives world computer technology cyber friend asks bennett debug new game inadvertently becomes involved conspiracy soon turn life upside make target assassination
11472,Nine Months,finds longtime girlfriend pregnant realizes might change lifestyle better much much worse
36196,Party Girl,although mary little income still finds ways spend nights clubs arrested throwing illegal rave asks aunt judy bail money judy finds mary job library mary repay initially mary finds job clerk boring stifling prefers get know street food vendor likes however mary must refocus life loses job apartment
11980,The Prophecy,angel gabriel comes earth collect soul end stalemated war heaven former priest little girl stop
58372,Reckless,christmas eve relentlessly cheerful woman escapes killers hired husband embarks series strange encounters
32646,Safe,upper housewife suffering various unexplained symptoms illness comes believe suffering multiple chemical sensitivity moves secluded facility recover
10533,The Scarlet Letter,set puritanical boston mid 1600s story seamstress hester prynne outcast becomes pregnant respected reverend refuses divulge name father convicted adultery forced wear scarlet indian attack unites puritans leads reevaluation laws morals
10802,Showgirls,young drifter named nomi arrives las vegas become dancer catches eye cristal main attraction stardust stage show nomi brink realizing dreams bumps grinds way top realizes room one starlet marquee either cristal take fall
10149,Smoke,writer paul benjamin nearly hit bus leaves auggie wren smoke shop stranger rashid cole saves life soon paul tells homeless rashid would mind housemate still grieving wife murder paul moved rashid quest reconnect father auggie discovery woman might daughter give birth
18402,Something to Talk About,grace king bichon managing father discovers husband eddie deceiving another woman confronting middle night streets small home town decides stay sister emma rae house make mind breaking everyday life starts question authority everyone
9348,Species,1993 search extra terrestrial intelligence project receives transmission detailing alien dna structure along instructions splice human dna result sil sensual deadly creature change beautiful woman killing machine blink eye
281,Strange Days,former cop turned bodyguard accidentally uncover conspiracy los angeles 1999
5967,Les Parapluies de Cherbourg,simple romantic tragedy begins guy foucher french auto mechanic fallen love emery employee widowed mother chic financially embattled umbrella shop evening guy leave tour combat algeria make love becomes pregnant must choose waiting guy return accepting offer marriage wealthy diamond merchant
47939,Three Wishes,jane holman driving two sons accidentally runs drifter jack mccloud breaks leg responsible jane invites jack dog stay home leg healed jack struggles adapt lifestyle finds loved family
36834,Total Eclipse,young wild poet arthur rimbaud mentor paul verlaine engage fierce forbidden romance feeling effects hellish artistic lifestyle
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",cross country trip hollywood cut short unreliable engine unpleasant encounter law enforcement power drag three self proclaimed bring bit much needed beauty rural middle america
3512,Under Siege 2: Dark Territory,passenger train hijacked electronics expert turned untraceable command center weapons satellite planned blow washington dc one man stop former navy seal casey ryback
52856,Unstrung Heroes,steven lidz unhappy home life since mother became sick moves two eccentric uncles steven grows closer uncles learns cope emotions value uniqueness
77350,Unzipped,isaac mizrahi one successful designers high fashion plans fall 1994 collection
9560,A Walk in the Clouds,world war ii vet paul sutton falls pregnant unwed woman persuades first encounter pose husband face family
9804,Waterworld,futuristic world polar ice caps melted made earth liquid planet beautiful barmaid rescues mutant seafarer floating island prison escape along young charge enola sail aboard ship
31611,White Man's Burden,story takes place alternative america blacks members social elite whites inhabitants inner city ghettos louis pinnock white worker chocolate factory loving husband father two children delivering package black ceo thaddeus thomas mistaken voyeur result loses job gets beaten black cops family gets evicted home desperate pinnock takes gun kidnaps thomas demanding justice
65796,Wild Bill,biopic famous gunslinger wild bill hickock early career legendary lawman telescoped culminates relocation deadwood reunion calamity jane
49805,The Browning Version,andrew embittered disliked teacher greek latin british prep school nearly 20 years service forced retire reasons perhaps may even given pension boys regard hitler justification unfaithful wife laura tries hurt way andrew must come terms failed life least regain
26258,Bushwhacked,inept courier realises used criminals deliver money run criminals police poses scout leader leads scout group hike mountains
50797,Утомлённые солнцем,russia 1936 revolutionary hero colonel kotov spending idyllic summer dacha young wife daughter nadia assorted family friends things change dramatically unheralded arrival cousin dmitri moscow charms women little nadia games pianistic bravura kotov fooled time stalin repression telephone calls middle night spelling doom knows dmitri paying social call
